group,iq,age
Physics student,34,15
Physics student,33,17
Physics student,32,15
Physics student,25,14
Physics student,36,19
Physics student,30,18
Physics student,31,16
Physics student,34,17
Physics student,29,16
Physics student,34,17
Physics student,39,16
Physics student,33,18
Physics student,39,19
Physics student,42,20
Physics student,41,20
Math student,36,20
Math student,38,28
Math student,37,22
Math student,35,18
Math student,41,19
Math student,40,23
Math student,36,19
Math student,38,16
Math student,24,18
Math student,39,20
Math student,29,19
Math student,38,20
Math student,45,23
Math student,44,24
Math student,44,22
Chemistry student,52,46
Chemistry student,46,38
Chemistry student,51,41
Chemistry student,52,39
Chemistry student,45,44
Chemistry student,49,33
Chemistry student,47,41
Chemistry student,46,36
Chemistry student,41,40
Chemistry student,47,44
Chemistry student,46,46
Chemistry student,42,38
Chemistry student,43,32
Chemistry student,47,41
Chemistry student,40,42
